a7a93ce,David Luecke,Wed Nov 10 07:48:30 2021 -0800,"4.0.1-0"
c60c6bf,David Luecke,Wed Nov 10 07:48:23 2021 -0800,"Update major version"
9161891,David Luecke,Wed Nov 10 07:48:02 2021 -0800,"Updating changelog"
829ab0e,David Luecke,Wed Nov 10 07:47:07 2021 -0800,"3.1.1-0"
f722427,David Luecke,Wed Nov 10 07:46:59 2021 -0800,"Add prerelease information"
c8303ec,David Luecke,Wed Nov 10 07:41:00 2021 -0800,"Initial migration to latest Elasticsearch"
